,SUBJECT:,SECTION:,COURSE SCHEDULE,I can easily log-in and log-out my Canvas account.,I can access my course using the mobile Canvas app.,I can access my Canvas account using the available computers in JRU.,I have no issues accessing my Canvas account using JRU's wifi connection.,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,I can easily get help when I have problems with my Canvas account.,I can access my Canvas account outside JRU.,I can clearly understand the lessons on my Canvas modules.,I recognize that the modules in my course are well organized.,I can easily manage the navigation of the courses through the desktop version.,I can easily manage the navigation of the courses through the mobile app.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I understand the lessons better with the help of course materials in Canvas.,Canvas course materials make me interested.,The course materials on Canvas helped me prepare for: Face to Face discussions,The course materials on Canvas helped me prepare for: Quizzes,The course materials on Canvas helped me prepare for: Prelim/Mid-term/Final Exam,The course materials on Canvas helped me prepare for: Other Tasks,My instructor knows how to use Canvas.,My instructor demonstrated mastery of the subject matter.,My instructor encourages me to use Canvas.,Canvas has made it easy for me to: Communicate with my instructor,Canvas has made it easy for me to: Receive class announcements,Canvas has made it easy for me to: Share ideas on group discussions,"I can answer the assessment materials (quiz, exam) posted in Canvas.",I find the course materials on Canvas aligned with the: Quizzes,"I find the course materials on Canvas aligned with the: Major (Prelim, Mideterm, Final) Exam",I find the course materials on Canvas aligned with the: Other tasks,I have been give enough time to accomplish the activities on Canvas.,What I like best in Canvas is/are:,What I like least in Canvas is/are:,I would like to suggest:
2326,HIS C101- Readings in Philippine History,BSIT 101i,12:00 AM,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,,,
2327,HIS C101- Readings in Philippine History,101i,12:00 PM,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mobility,,
2337,HIS C101- Readings in Philippine History,BSHM-101H,07:38 AM,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,I can do it home,I there is not understandable lesson i cant ask my prof.,
2346,HIS C101- Readings in Philippine History,BSIT-101I,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Scheduled quizes and assignments. Announcement of the professor.,Chat room.,
2354,HIS C101- Readings in Philippine History,BSA-101A,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,that it is handy,that it needed to continually check,I suggest that the it will give us time to have bonding with friends or family
2359,HIS C101- Readings in Philippine History,102H,10:30 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Making the quizzes easier by the help of the modules. Giving early announcement,,
2362,HIS C101- Readings in Philippine History,401LM,04:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,i can easily access the module or lesson in my subject,sometimes i forgot the quiz here in the canvas,to develop the internet connection here in jru specially the wifi thankyou :)
2372,HIS C101- Readings in Philippine History,BSCPE 102G,12:00 PM,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,,,I like to have a notification or reminder on mobile
2374,HIS C101- Readings in Philippine History,102G,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I can do a lot of stuff here for my course.,,I would like to notify me on mobile.
2392,HIS C101- Readings in Philippine History,102P,1:2 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Organized the materials and lessons for discussions.,The codes and the submission button.,Quizzes should done in the classroom.
2440,HIS C101- Readings in Philippine History,103x,09:00 AM,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,The notifications and the due date,that you should remove canvas asap.
2441,HIS C101- Readings in Philippine History,`103x,03:30 AM,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,that i used to have other ideas whenever i am hands on through it.,"sometimes, it is not transparent in source materials that i want to know.",There are some components that could be able to undergo with some of the things that are not much under of the canvass
2443,HIS C101- Readings in Philippine History,BSIT-102i,01:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,We can study in advance,We can study our lessons at home,Nothing
2470,HIS C101- Readings in Philippine History,Htm-103,01:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It's very helpful specially to those working student like me. It helps me a lot of being stable my grades. And also  canvas can access anywhere.,"It can access anywhere but not anytime, not in login access i mean ahhmm the date that they unlocked the canvas quizzes and the due date. I experience this in my history subject my prof open it in afternoon then it will be close within 8hrs that's why many of us (my classmate) didn't take this quiz because of this scenario.",I would like to suggest to give a much longer time when answering the quizzes inside the canvas and also the due date of it specially history subject its so struggle in answering this subject because of the time limit thats why i get a lowest grades as always
2472,HIS C101- Readings in Philippine History,102G,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,,,That some of the prof will reply on email message from the students.
2484,HIS C101- Readings in Philippine History,101S,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
2487,HIS C101- Readings in Philippine History,102,11:1 PM,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,,Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,,Disagree,,,
2495,HIS C101- Readings in Philippine History,101-EC,12:00 PM,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,other,,
2496,HIS C101- Readings in Philippine History,BSECE1-1 101EC,12:00 PM,Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Well it is online meaning I can access it anywhere but not everytime since sometimes it crashes.,Sometimes the quizzes can't be access because it has a code and we don't know it so we can't answer the quizzes.,Have a proper orientation regarding canvas.
2501,HIS C101- Readings in Philippine History,101K,01:30 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,
2503,HIS C101- Readings in Philippine History,101BA,03:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
2506,HIS C101- Readings in Philippine History,102-g,12:1 PM,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
2530,HIS C101- Readings in Philippine History,101H,07:30 AM,Agree,Strongly Agree,,Disagree,,,Strongly Agree,Agree,Agree,,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
2533,HIS C101- Readings in Philippine History,1o2p,02:30 PM,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,I'm able to see my scores.,The modules are not well-organized.  The professors doesn't tackle all the lessons that is in the canvas,remove the canvas.
2542,HIS C101- Readings in Philippine History,103x,09:00 AM,Agree,Strongly Agree,Agree,Disagree,Disagree,,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Less paper works,Have access code for the quizzes,Remove access code therefore the students can answer the quiz immediately
2565,HIS C101- Readings in Philippine History,103M,10:30 AM,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,The modules because it can help us students to be prepared on our quizzes and exams.,,
2588,HIS C101- Readings in Philippine History,102M,01:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
2594,HIS C101- Readings in Philippine History,105x,10:12 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Knowing what assignment or quiz to do,Communivate with teacher and classmate,Nothing
2617,HIS C101- Readings in Philippine History,103H,09:11 PM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,,,
2619,HIS C101- Readings in Philippine History,BSHM-CMGT 102S,03:00 PM,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,forums,forums,nothing
2624,HIS C101- Readings in Philippine History,103-M,10:30 AM,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,convenient anytime and anywhere,"OUR PROFESSOR DOESN'T FIX OUR COMPLAINTS ABOUT THE SUBMISSIONS OF OUR PRODUCTS AND ASSIGNMENTS/PERFORMANCE TASKS/WRITTEN WORKS. UNTIL NOW, WE STILL CAN'T OR HAVEN'T EVEN SUBMITTED OUR WORK. OUR WORKS OR PERFORMANCE TASKS ISN'T STILL GRADED. THAT IS WHY WE HAD DELAYS OF GETTING OUR GRADES IN HISTORY! OUR PROFESSOR SAID THAT HE'LL FIX THE PROBLEM BUT STILL THERE ARE NO CHANGES. PLEASE ADDRESS THE PROBLEM RIGHT AWAY FOR IT IS EASY FOR US TO DO OUR JOBS. WE DID OUR PART, OUR PROFESSORS AND THE CANVAS SHOULD ALSO DO THEIR PART. IT IS NOT OUR FAULT THAT WE CAN'T PASS OUR WORKS BECAUSE OF THE CANVAS NOT UPDATED AND OUR PROFESSOR NOT DOING ANYTHING!!",CANVAS SHOULD BE MORE ACCURATE OR BE MORE EASY TO DO AND SHOULD ALWAYS BE UPDATED. SHOULD GIVE US NOTIFICATIONS. ALSO PROFESSORS SHOULD KNOW WHAT TO DO IN SOME INCIDENTS AND MAKING ADJUSTMENTS NOT JUST US. THANK YOU!
2631,HIS C101- Readings in Philippine History,103X,01:30 AM,Agree,Strongly Disagree,Agree,Agree,,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,,Agree,Those modules are easy to access.,Nothing,I suggest to not put all the lesson in canvas. I like face to face lecture.
2632,HIS C101- Readings in Philippine History,101 h,07:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Convinient,Need internet if will brows the modules,
2638,HIS C101- Readings in Philippine History,101LM,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Announcement,Modules,"Stop using canvas for Examination, revert it back to Traditional Examination"
2648,HIS C101- Readings in Philippine History,102A,07:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,EASE IN ACCESSING MODULES,UNORGANIZED DUE DATES OF TASKS,
2652,HIS C101- Readings in Philippine History,103-x,09:10 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Easy to access,Announcement,If they can unlock it if the quiz lock
2655,HIS C101- Readings in Philippine History,103X,09:00 AM,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,The modules of the course.,It is not functioning well sometimes.,Develop it and fix errors.
2662,HIS C101- Readings in Philippine History,101-BA,03:00 PM,Agree,Agree,Agree,,Agree,,Agree,,,Agree,,,,,,Agree,,,Agree,Agree,,,Agree,,,Agree,,,,,,
2668,HIS C101- Readings in Philippine History,101LM,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It is accessible everywhere,it does not give me enough time to answer my quizzes/activities,"Remove the deadline, time limit, and access codes for quizzes and/or activities"
2673,HIS C101- Readings in Philippine History,102P,12:00 PM,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Can read modules and can surf the web while answering quizzes lol,"I HATE CANVAS BECAUSE IT ENCOURAGES PROFS TO BE LAZY, INAASA NALANG SA CANVAS ANG PAGTUTURO. WE UNDERSTAND THE CONCEPT OF BLENDED LEARNING, PERO BAKIT PARANG ONE WAY LEARNING NALANG ANG NANGYAYARI? WE STUDENTS ARE LEFT TO LEARN THROUGH THE MODULES WITHOUR PROPER SUPERVISION AND GUIDANCE. SANA NAG HOME SCHOOL NALANG KAMI. DI PA MAINTINDIHAN YUNG LESSONS SA CANVAS TAPOS WHEN WE GO TO SCHOOL HINDI NAMAN DINI DISCUSS YUNG MODULES.",traditional learning is still better and efficient
