First,Second,Third
"[('neutral', 'JJ')]","[('modules', 'NNS'), ('long', 'RB')]","[('use', 'NN'), ('power', 'NN'), ('point', 'NN'), ('presentation', 'NN'), ('modules', 'NNS')]"
"[('get', 'VB'), ('updates', 'JJ'), ('professors', 'NNS')]","[('canvas', 'NN'), ('working', 'VBG'), ('properly', 'RB')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('easily', 'RB'), ('access', 'NN'), ('module', 'NN'), ('lessons', 'NNS')]","[('modules', 'NNS'), ('must', 'MD'), ('summarized', 'VBN'), ('order', 'NN'), ('us', 'PRP'), ('students', 'NNS'), ('read', 'VBP'), ('lot', 'NN'), ('also', 'RB'), ('understand', 'RB'), ('well', 'RB'), ('direct', 'JJ'), ('point', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('schoolwork', 'NN'), ('home', 'NN')]","[('much', 'JJ'), ('thing', 'NN')]","[('making', 'VBG'), ('fun', 'NN'), ('learn', 'NN')]"
"[('read', 'JJ'), ('future', 'NN'), ('lessons', 'NNS')]","[('hard', 'JJ'), ('cope', 'NN'), ('understand', 'NN'), ('module', 'NN'), ('discussed', 'VBD')]","[('video', 'NN'), ('online', 'NN'), ('classes', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('access', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('access', 'NN')]","[('instructions', 'NNS'), ('hard', 'JJ'), ('understand', 'NN')]","[('face', 'NN'), ('face', 'NN'), ('interaction', 'NN'), ('canvas', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('depend', 'NN'), ('solely', 'RB'), ('face', 'JJ'), ('face', 'NN'), ('discussions', 'NNS'), ('actually', 'RB'), ('understand', 'VBP'), ('lessons', 'NNS'), ('better', 'RBR'), ('solitude', 'VBP'), ('canvas', 'NN'), ('blended', 'VBD'), ('learning', 'VBG'), ('made', 'VBN'), ('easier', 'JJR'), ('access', 'NN'), ('read', 'VBD'), ('modules', 'NNS'), ('home', 'NN')]","[('none', 'NN')]","[('notifications', 'NNS')]"
"[('advance', 'NN'), ('knowledge', 'NN')]","[('access', 'NN'), ('code', 'NN')]","[('remove', 'VB'), ('access', 'NN'), ('code', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('activities', 'NNS')]","[('quizes', 'NNS')]","[('give', 'VB'), ('enough', 'JJ'), ('time', 'NN'), ('answer', 'NN'), ('quiz', 'NN')]"
"[('accessible', 'JJ')]","[('technical', 'JJ'), ('issues', 'NNS')]","[('get', 'VB'), ('notifications', 'NNS'), ('professor', 'VBP'), ('read', 'JJ'), ('email', 'NN'), ('sent', 'VBD')]"
